Easting,Northing,Lat,Long,Severity_of_casualty,Casualty_Class,Sex,Age,Date,Day,Hour,Local_authority,Vehicle_type,Pedestrian_Locality
546980,183850,51.53442835,0.117755887,Serious,Pedestrian,Female,74,09/01/2014,Thursday,7,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
550900,186720,51.55918269,0.175460437,Serious,Driver_or_rider,Male,29,12/04/2014,Saturday,10,Barking_and_Dagenham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
549920,184390,51.53850812,0.160342452,Serious,Pedestrian,Female,25,14/04/2014,Monday,18,Barking_and_Dagenham,Car,Crossing_on_pedestrian_crossing_facility
549920,185830,51.55144686,0.160955052,Serious,Pedestrian,Female,37,20/04/2014,Sunday,23,Barking_and_Dagenham,Van/Goods_3.5_tonnes_mgw_or_under,Crossing_on_pedestrian_crossing_facility
544460,184350,51.53957112,0.081653912,Serious,Passenger,Male,80,26/04/2014,Saturday,15,Barking_and_Dagenham,Bus_or_coach_(17_or_more_pass_seats),Not_a_pedestrian
547540,185350,51.54776019,0.126451971,Serious,Pedestrian,Female,21,20/04/2014,Sunday,5,Barking_and_Dagenham,Car,Crossing_elsewhere_within_50m._of_ped_crossing
545150,183290,51.52986969,0.091159725,Serious,Driver_or_rider,Male,31,07/05/2014,Wednesday,18,Barking_and_Dagenham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
548050,189500,51.58491557,0.135547909,Serious,Pedestrian,Male,13,11/04/2014,Friday,18,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
546440,183740,51.5335803,0.109930236,Serious,Driver_or_rider,Male,23,11/05/2014,Sunday,2,Barking_and_Dagenham,Motorcycle_over_500cc,Not_a_pedestrian
548440,189000,51.58032048,0.140961599,Serious,Driver_or_rider,Female,30,08/05/2014,Thursday,18,Barking_and_Dagenham,Car,Not_a_pedestrian
548440,188490,51.57573804,0.140746301,Serious,Pedestrian,Male,13,10/06/2014,Tuesday,8,Barking_and_Dagenham,Goods_7.5_tonnes_mgw_and_over_(from_1999),"In_carriageway,_crossing_elsewhere"
548470,186880,51.56126408,0.140499599,Serious,Pedestrian,Female,12,01/07/2014,Tuesday,15,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
545700,183960,51.53574844,0.099359891,Serious,Driver_or_rider,Male,44,07/07/2014,Monday,8,Barking_and_Dagenham,Pedal_cycle,Not_a_pedestrian
549060,185780,51.55122516,0.14853914,Serious,Pedestrian,Female,54,04/07/2014,Friday,22,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
547930,183560,51.53157468,0.131321207,Serious,Driver_or_rider,Male,39,13/07/2014,Sunday,4,Barking_and_Dagenham,Pedal_cycle,Not_a_pedestrian
545220,183920,51.53551257,0.092427645,Serious,Pedestrian,Male,11,17/07/2014,Thursday,15,Barking_and_Dagenham,M/cycle_over_50_and_up_to_125cc_(from_1999),"In_carriageway,_crossing_elsewhere"
546150,183610,51.53248734,0.105698282,Serious,Driver_or_rider,Female,19,29/07/2014,Tuesday,22,Barking_and_Dagenham,Car,Not_a_pedestrian
545150,183290,51.52986969,0.091159725,Serious,Driver_or_rider,Male,31,29/08/2014,Friday,18,Barking_and_Dagenham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
549520,186510,51.55766278,0.155478758,Serious,Pedestrian,Female,10,12/09/2014,Friday,15,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
546990,183610,51.53226929,0.117799904,Serious,Driver_or_rider,Female,43,30/08/2014,Saturday,17,Barking_and_Dagenham,Car,Not_a_pedestrian
544350,183840,51.5350166,0.079860028,Serious,Pedestrian,Female,11,15/09/2014,Monday,17,Barking_and_Dagenham,Car,Crossing_on_pedestrian_crossing_facility
547120,186340,51.55676498,0.120812671,Serious,Driver_or_rider,Male,41,03/10/2014,Friday,19,Barking_and_Dagenham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
548460,189080,51.58103406,0.141283846,Serious,Passenger,Female,71,06/10/2014,Monday,9,Barking_and_Dagenham,Car,Not_a_pedestrian
547660,184350,51.53874365,0.127762318,Serious,Pedestrian,Male,14,06/10/2014,Monday,20,Barking_and_Dagenham,Car,Crossing_on_pedestrian_crossing_facility
